,Lat,Lon,BY,MAT,AMMaxT,AMMinT,MMT,SMT,AP,SMP,GDP,Pop,DC,InfR,Vol,HRT,AtHRT,SRT,Nitri,Denitri,InfBOD,ReInfBOD,AtInfBOD,InfCOD,ReInfCOD,AtInfCOD,F.M,InfNH4N,AtInfNH4N,InfTN,AtInfTN,InfTP,AtInfTP,IndConInf,IndPer,MLSS,DO,Ph,MIT,Con,NH4N,NO3N,SVI
AUBR1A,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1.141428571,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,4.141137856,39.50819672,71.93700787,5.503557312,10.05744681,55.16981132,73.53828511
AUBR1B,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1.141428571,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,5.765864333,39.50819672,71.54724409,5.503557312,10.05744681,55.16981132,73.53828511
AUBR1C,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1.141428571,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,1.974835886,39.50819672,71.54724409,5.503557312,11.1106383,51.12264151,69.78299224
AUBR2A,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,2.245623632,39.50819672,71.93700787,5.503557312,3.738297872,50.18867925,64.07145378
AUBR2B,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,8.473741794,39.50819672,71.93700787,5.503557312,3.738297872,50.18867925,64.07145378
AUBR2C,15.77909146,94.12103354,92.15841584,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,2.155006139,2.372825142,6.852768555,56.81914894,59.74246018,23.6503856,100,100,32.22000425,54.7258517,33.83287293,47.08141494,50.34134615,31.79493088,13.50526316,58.82603687,1,45.70751523,100,66.09589041,80.47887324,100,17.5,36.5358004,2.516411379,39.50819672,71.54724409,5.503557312,3.738297872,50.18867925,64.07145378
AUCR1A,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,9.015317287,38.03278689,87.13779528,1.305928854,15.95531915,44.58490566,57.43419195
AUCR1B,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,9.015317287,38.03278689,87.13779528,1.305928854,15.95531915,44.58490566,57.43419195
AUCR1C,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,9.015317287,38.03278689,87.13779528,1.305928854,15.95531915,44.58490566,57.43419195
AUCR2A,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,8.148796499,38.03278689,87.13779528,1.305928854,58.29361702,35.55660377,59.32057163
AUCR2B,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,8.148796499,38.03278689,87.13779528,1.305928854,58.29361702,35.55660377,59.32057163
AUCR2C,25.35220037,91.92379719,99.01980198,92.66666667,59.81549815,88.82258065,78,37,100,100,45.79554566,1.48895868,3.179334174,1.493724755,1.511855653,24.17021277,22.83971535,18.11780485,100,100,29.38182204,64.2488978,9.143646409,26.95901179,52.08653846,17.65207373,52.06315789,38.29608295,29.28571429,32.97224103,48.265625,29.47945205,17.73239437,100,1,31.76171506,8.148796499,38.03278689,87.13779528,1.305928854,58.29361702,35.55660377,59.32057163
AUEP1AA,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,32.92410106,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP1AB,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,32.92410106,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP1AC,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,32.92410106,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP1BA,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,27.74525632,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP1BB,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,27.74525632,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP1BC,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,4.26904485,4.95518253,10.36586511,11.53191489,20.49135886,9.265675645,100,100,19.60586112,56.63046092,33.83287293,24.51319483,52.87980769,62.93202765,11.42105263,51.98271889,60.82428571,43.69668246,48.265625,34.45205479,4.485915493,100,34,27.74525632,6.307439825,40.98360656,32.96062992,7.623715415,10.05744681,52.99056604,3.480239944
AUEP2AA,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,40.55225915,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AUEP2AB,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,40.55225915,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AUEP2AC,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,40.55225915,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AUEP2BA,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,38.2586225,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AUEP2BB,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,38.2586225,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AUEP2BC,9.086584871,89.78128816,86.27722772,63.33333333,81.73431734,72.85483871,63.33333333,1,15.79310345,3.863636364,37.36614699,5.286923321,1.610150801,1.658556078,1.25361371,14.69148936,24.51711284,17.0112887,100,1,13.61414313,31.9498998,33.83287293,23.73498035,18.45192308,47.76267281,6.210526316,37.15552995,70.3,37.66418416,76.625,13.65753425,4.485915493,100,12,38.2586225,10.36925602,49.83606557,81.68110236,5.546245059,3.738297872,50.18867925,64.07145378
AULP1A,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP1B,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP1C,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP2A,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP2B,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP2C,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP3A,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP3B,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP3C,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP4A,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP4B,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AULP4C,15.83439465,94.13797866,61.77227723,74.33333333,56.16236162,79.24193548,67,59.5,44.56,34.54545455,45.23162584,8.538177607,4.051102715,4.295857239,12.54582956,56.81914894,59.74246018,15.90477255,100,100,28.82469739,54.7258517,33.83287293,35.74171814,50.34134615,31.79493088,13.50526316,47.64861751,1.141428571,7.702775897,100,44.84931507,80.47887324,100,15.3,36.5358004,3.870350109,39.50819672,71.54724409,5.845059289,11.1106383,51.12264151,69.78299224
AUMB1A,5.763830866,91.6637825,94.11881188,56,67.12177122,68.06451613,41.33333333,100,21.71034483,9.795454545,42.74743875,15.59345221,1.866163586,1.218868525,1.25361371,9.95212766,21.16231786,17.0112887,100,100,51.45657252,42.90140281,34.74447514,57.92083099,71.91826923,70.57373272,6.210526316,32.13709677,58.84428571,44.36696005,74.046875,70.61643836,64.44366197,100,6.5,24.02977251,11.72319475,42.45901639,81.68110236,12.95612648,4.791489362,1,80.47247706
AUMB1B,5.763830866,91.6637825,94.11881188,56,67.12177122,68.06451613,41.33333333,100,21.71034483,9.795454545,42.74743875,15.59345221,1.866163586,1.218868525,1.25361371,9.95212766,21.16231786,17.0112887,100,100,51.45657252,42.90140281,34.74447514,57.92083099,71.91826923,70.57373272,6.210526316,32.13709677,58.84428571,44.36696005,74.046875,70.61643836,64.44366197,100,6.5,24.02977251,11.72319475,42.45901639,81.68110236,12.95612648,4.791489362,1,80.47247706
AUMB1C,5.763830866,91.6637825,94.11881188,56,67.12177122,68.06451613,41.33333333,100,21.71034483,9.795454545,42.74743875,15.59345221,1.866163586,1.218868525,1.25361371,9.95212766,21.16231786,17.0112887,100,100,51.45657252,42.90140281,34.74447514,57.92083099,71.91826923,70.57373272,6.210526316,32.13709677,58.84428571,44.36696005,74.046875,70.61643836,64.44366197,100,6.5,24.02977251,11.72319475,42.45901639,81.68110236,12.95612648,4.791489362,1,80.47247706
AUML1A,6.214834719,91.59264895,94.11881188,56,74.42804428,71.25806452,41.33333333,95.5,21.71034483,9.795454545,42.74743875,15.59345221,1.104525048,1.218868525,5.893584197,9.95212766,21.16231786,17.0112887,100,50.5,51.45657252,66.35190381,34.74447514,57.92083099,71.91826923,100,15.58947368,26.0921659,49.08571429,44.36696005,74.046875,70.61643836,64.44366197,100,10.9,31.08711605,11.72319475,42.45901639,28.67322835,13.04505929,23.32765957,22.16981132,5.488884968
AUML1B,6.214834719,91.59264895,94.11881188,56,74.42804428,71.25806452,41.33333333,95.5,21.71034483,9.795454545,42.74743875,15.59345221,1.104525048,1.218868525,5.893584197,9.95212766,21.16231786,17.0112887,100,50.5,51.45657252,66.35190381,34.74447514,57.92083099,71.91826923,100,15.58947368,26.0921659,49.08571429,44.36696005,74.046875,70.61643836,64.44366197,100,10.9,31.08711605,11.72319475,42.45901639,28.67322835,13.04505929,23.32765957,22.16981132,5.488884968
AUML1C,6.214834719,91.59264895,94.11881188,56,74.42804428,71.25806452,41.33333333,95.5,21.71034483,9.795454545,42.74743875,15.59345221,1.104525048,1.218868525,5.893584197,9.95212766,21.16231786,17.0112887,100,50.5,51.45657252,66.35190381,34.74447514,57.92083099,71.91826923,100,15.58947368,26.0921659,49.08571429,44.36696005,74.046875,70.61643836,64.44366197,100,10.9,31.08711605,11.72319475,42.45901639,28.67322835,13.04505929,23.32765957,22.16981132,5.488884968
AUML2A,6.214834719,91.59264895,94.11881188,56,74.42804428,71.25806452,41.33333333,95.5,21.71034483,9.795454545,42.74743875,15.59345221,1.104525048,1.218868525,5.893584197,9.95212766,21.16231786,17.0112887,100,50.5,51.45657252,66.35190381,34.74447514,57.92083099,71.91826923,100,15.58947368,26.0921659,49.08571429,44.36696005,74.046875,70.61643836,64.44366197,100,10.9,31.08711605,11.72319475,42.45901639,28.67322835,13.04505929,23.32765957,22.16981132,5.488884968
AUML2B,6.214834719,91.59264895,94.11881188,56,74.42804428,71.25806452,41.33333333,95.5,21.71034483,9.795454545,42.74743875,15.59345221,1.104525048,1.218868525,5.893584197,9.95212766,21.16231786,17.0112887,100,50.5,51.45657252,66.35190381,34.74447514,57.92083099,71.91826923,100,15.58947368,26.0921659,49.08571429,44.36696005,74.046875,70.61643836,64.44366197,100,10.9,31.08711605,11.72319475,42.45901639,28.67322835,13.04505929,23.32765957,22.16981132,5.488884968
