Label,Id,timeset,v_name,v_kindom,v_phylum,v_class,v_order,v_family,v_genus,v_species,v_partition,v_group,v_taxa,v_function,v_process,v_frequency,v_niche,v_modularity,v_degree,v_betweenness,v_closeness,closeness_w,norm_closeness_w,Feature_ID,MRA,Nitrifiers,Denitrifiers,Anammox,DNRA,PAOs,GAOs,SRB,SOB,Filamentous,Acetogen,Methanogen,Fermenter,Sugars,Lipids,Proteins,Unassigned
ASV1020,n4189,NA,ASV1020,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_25091,above,intermediate,others,Denitrifiers/Proteins,N_remove,0.206577,56.304269,4,1,0,3.00E-06,844.7904859,0.16926277,e05b58f0e1a5a77ccc214ce3e542ae5b,0.000140233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1021,n53,NA,ASV1021,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,midas_g_5504,midas_s_5504,above,intermediate,others,Unassigned,Unassigned,0.176223,82.746989,4,1,0,3.00E-06,764.9257975,0.153261029,2b59b12eab282e1b24f417f0fe94274c,0.000125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1022,n4439,NA,ASV1022,Bacteria,Acidobacteriota,Blastocatellia,11_24,midas_f_1424,midas_g_15395,midas_s_22728,above,intermediate,others,Unassigned,Unassigned,0.267285,180.126222,9,13,1212,3.00E-06,1070.390639,0.214464163,2f47578dc8da92126f11cfc0ab5bd1c1,0.000178984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1025,n1321,NA,ASV1025,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,midas_g_1023,Unknown,above,intermediate,others,Unassigned,Unassigned,0.247049,229.769741,9,1,0,3.00E-06,704.1744766,0.141088855,002a1665d74eb41002fde4fa32f51d93,0.000162405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1026,n3512,NA,ASV1026,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,midas_s_629,above,intermediate,others,Denitrifiers/Lipids/Proteins,N_remove,0.114671,62.321434,5,16,6684,3.00E-06,1039.403507,0.208255561,bb5d90bda16047b2647c35bcee57cd77,0.000165383,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ASV1027,n1303,NA,ASV1027,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_8080,below,intermediate,others,Denitrifiers/Proteins,N_remove,0.032884,9.406975,41,1,0,0,1.499311627,0.000300403,047ce50371679c17870e58980fc6a219,0.000179024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1028,n3439,NA,ASV1028,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_40385,above,intermediate,others,Denitrifiers/Proteins,N_remove,0.234401,158.838625,9,24,7691,3.00E-06,1169.68276,0.234358397,61bcf448164c2fc0c8696b23694cfa08,0.000162526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV103,n212,NA,ASV103,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_10622,below,abundant,others,Denitrifiers/Proteins,N_remove,0.15683,22.155535,16,10,4875,3.00E-06,1019.695512,0.204306855,ea9058f1d74bb56e0ceebb07ae2221a8,0.001776557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1030,n276,NA,ASV1030,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,midas_g_11187,Unknown,above,intermediate,others,Unassigned,Unassigned,0.236088,168.79951,3,1,0,3.00E-06,872.8995269,0.174894716,bb2a2adaebd9e1ef628297acd8deb54f,0.000157697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1031,n1170,NA,ASV1031,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix_unzii,neutral,intermediate,others,Denitrifiers/Filamentous/Lipids/Proteins,N_remove,0.08516,17.281638,7,3,4917,3.00E-06,818.2799508,0.163951102,47c79dd7bfca112d09545f503149348b,0.000159669,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
ASV1035,n2666,NA,ASV1035,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,Amarolineaceae,Ca_Amarolinea,midas_s_553,below,intermediate,others,Filamentous/Fermenter/Sugars,Foaming,0.059022,13.217595,10,10,10911,3.00E-06,1090.448987,0.218483067,46c15461e56c93c927cf1b3b84c6ab82,0.000185784,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
ASV1036,n2893,NA,ASV1036,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_3186,midas_s_11097,above,intermediate,others,Unassigned,Unassigned,0.133221,97.345911,4,16,14098,3.00E-06,1023.917526,0.20515278,6800ae5a20d2f4710218d9daa781123f,0.000165423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1037,n3150,NA,ASV1037,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,Unknown,Unknown,above,intermediate,others,Unassigned,Unassigned,0.143339,114.542308,13,1,0,3.00E-06,777.769322,0.155834366,07177df7b2b2cac2d75ce4fe31a45c1c,0.000152426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1038,n504,NA,ASV1038,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,midas_g_22658,Unknown,below,intermediate,others,Unassigned,Unassigned,0.038786,18.517076,9,19,10214,3.00E-06,1116.235723,0.223649714,72b039b24e2409d32213aaaa5baa1ac8,0.000164135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1039,n4509,NA,ASV1039,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,midas_s_11823,neutral,intermediate,others,Unassigned,Unassigned,0.088533,63.75517,4,17,24103,3.00E-06,1015.689573,0.203504222,4868727e51ecd18146adf319663a6541,0.000168924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1041,n4156,NA,ASV1041,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter,Unknown,above,intermediate,others,Unassigned,Unassigned,0.105396,34.436224,7,20,194,3.00E-06,1006.891152,0.201741365,d2d01dc861fd4b0a6572489b26e9eb1a,0.000172586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1042,n3988,NA,ASV1042,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,midas_s_16904,above,intermediate,others,Unassigned,Unassigned,0.155987,114.963633,4,4,4449,3.00E-06,893.6015365,0.179042584,cd6358c7c0547b209df64c6fcfefdef9,0.000137618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1043,n1273,NA,ASV1043,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,midas_g_23503,midas_s_23503,below,intermediate,others,Unassigned,Unassigned,0.047218,21.76487,12,25,21855,3.00E-06,1095.2217,0.219439331,92d959e4411ad94f82568c4bacf5aff5,0.000156852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1044,n793,NA,ASV1044,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unknown,below,intermediate,others,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.010961,2.83118,14,15,3541,3.00E-06,848.6636273,0.170038795,6376ea6dab7d0fde3cd66f53b57e1484,0.000204374,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ASV1045,n1046,NA,ASV1045,Bacteria,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,above,intermediate,others,Unassigned,Unassigned,0.113828,33.560989,6,3,0,3.00E-06,699.7516519,0.140202695,60576509e89673b23559be060b7df635,0.000143412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1046,n4370,NA,ASV1046,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_25,above,intermediate,others,Denitrifiers/Sugars/Proteins,N_remove,0.120573,72.471948,5,49,49170,3.00E-06,1126.546081,0.225715504,edcee9ae6196e011c79d9763cfa748db,0.000164216,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ASV1047,n1728,NA,ASV1047,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1336,Unknown,below,intermediate,others,Unassigned,Unassigned,0.030354,16.684131,5,2,0,3.00E-06,793.8959067,0.159065499,d7a2f45f623808de0e1da25dd2a1955e,0.000153391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1048,n1171,NA,ASV1048,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Unknown,above,intermediate,others,Sugars/Proteins,C_cycle,0.123946,74.033343,5,1,0,3.00E-06,815.6329476,0.163420747,099670139bb042a04878c5faac723f2c,0.000152386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ASV105,n3960,NA,ASV105,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,midas_g_2126,midas_s_5484,below,abundant,others,Unassigned,Unassigned,0.069983,13.227352,3,4,0,3.00E-06,954.6679422,0.191277889,567f0c44227ba8f1fa2a9c93595ff869,0.001101183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1050,n13,NA,ASV1050,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,midas_f_47682,midas_g_58136,midas_s_58136,below,intermediate,others,Unassigned,Unassigned,0.017707,5.107497,2,17,42570,3.00E-06,1007.59949,0.201883288,18fd7349f84eddfe72e095a4a06c8db5,0.000103897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1053,n388,NA,ASV1053,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unknown,Unknown,below,intermediate,others,Unassigned,Unassigned,0.024452,11.79546,19,15,2182,3.00E-06,962.5949824,0.192866156,e8efdc51c97f86489f755445baf09d17,0.000155806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1054,n124,NA,ASV1054,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_63063,above,intermediate,others,Denitrifiers/Proteins,N_remove,0.071669,51.140841,12,28,26339,3.00E-06,1102.517425,0.220901107,eba0dacab625a7a188e0835857265b11,0.000121562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV1055,n1774,NA,ASV1055,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,Unknown,above,intermediate,others,DNRA/Fermenter/Lipids,N_remove,0.091062,45.069205,3,2,0,3.00E-06,815.9601971,0.163486315,f21e9cbd5a394d635476851e54cd953c,0.000146833,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ASV1056,n2916,NA,ASV1056,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,midas_s_3054,above,intermediate,others,Sugars/Proteins,C_cycle,0.210793,91.292076,5,15,352,3.00E-06,954.3385557,0.191211893,f84e36d56e98c342148af1d88a6c649e,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ASV1057,n310,NA,ASV1057,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,midas_g_2842,midas_s_5736,above,intermediate,others,Unassigned,Unassigned,0.128162,78.10248,5,11,4828,3.00E-06,901.4297194,0.180611044,fb8f5f706d52ca07e9deebab5267b669,0.000172867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1058,n3767,NA,ASV1058,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,midas_g_2835,midas_s_37147,above,intermediate,others,Unassigned,Unassigned,0.117201,83.823509,9,11,4636,3.00E-06,1032.256879,0.206823658,9ca931e2fac767a6c24a368bc10e5cec,0.000175885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1059,n2309,NA,ASV1059,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,midas_g_487,midas_s_2122,below,intermediate,others,Unassigned,Unassigned,0.042159,33.322805,9,77,44776,3.00E-06,1283.402146,0.257143287,3962b0d867dc74b8ae771a70af538ad2,0.000210008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV106,n1743,NA,ASV106,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,midas_s_1940,below,abundant,others,Fermenter/Sugars,C_cycle,0.155143,18.593001,2,14,4458,3.00E-06,972.8472009,0.194920297,eba69fef85fa63d9ca01273e9eda4dae,0.001516934,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ASV1060,n2928,NA,ASV1060,Bacteria,Latescibacterota,midas_c_18,midas_o_962,midas_f_4998,midas_g_14234,midas_s_28264,below,intermediate,others,Unassigned,Unassigned,0.057336,13.697317,8,167,32909,3.00E-06,1354.858495,0.271460328,8b00deff2c1610708b4613bc317f4664,0.000180835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1061,n1695,NA,ASV1061,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_1226,midas_s_1226,above,intermediate,others,Unassigned,Unassigned,0.109612,87.370239,8,11,5843,3.00E-06,1053.583428,0.21109666,e62e2f4daa391c5d93c3859567c23dce,0.000159025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1062,n3760,NA,ASV1062,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,midas_f_26820,midas_g_26820,midas_s_26820,above,intermediate,others,Unassigned,Unassigned,0.111298,62.90037,4,31,13188,3.00E-06,1065.304479,0.213445097,d3f7139c4ba519ee856f9ef2d87b4b8d,0.000156973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1065,n676,NA,ASV1065,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_5535,midas_s_14556,neutral,intermediate,others,Unassigned,Unassigned,0.080944,63.525516,9,6,3927,3.00E-06,986.057077,0.197567036,102a7d4d2a0064f3067bd03e5036f614,0.00016824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1066,n621,NA,ASV1066,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio,midas_s_9216,above,intermediate,others,Denitrifiers/GAOs/Fermenter/Sugars/Lipids/Proteins,N_P_remove,0.333895,245.961969,33,1,0,0,0.808665931,0.000162025,d56cefcc9af6708719a62425338f5575,0.000150293,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
ASV1067,n3285,NA,ASV1067,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,midas_s_42219,below,intermediate,others,Denitrifiers/PAOs/SRB/Proteins,N_P_S_remove,0.032884,16.26655,9,28,7813,3.00E-06,1162.16733,0.232852601,be6e98e0b811f571eb4081f6be78ef61,0.000189285,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ASV1068,n1101,NA,ASV1068,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_399,midas_s_5208,above,intermediate,others,Unassigned,Unassigned,0.12226,42.729461,4,4,0,3.00E-06,949.4550747,0.190233435,93e6def150e5ba07a7f1916a2b816d34,0.00014973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1069,n1660,NA,ASV1069,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,966-1,midas_s_12623,neutral,intermediate,others,Unassigned,Unassigned,0.081788,16.050704,10,6,1173,3.00E-06,1051.556303,0.210690503,a9ddf079a55b479e01760075bdc16ba6,0.000171419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV107,n2387,NA,ASV107,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,Unknown,neutral,abundant,core,Denitrifiers/Lipids/Proteins,N_remove,0.443508,326.428139,5,9,4868,3.00E-06,904.5049342,0.181227196,848da4b6ff9efd964087d8f18b128886,0.001325517,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ASV1072,n4220,NA,ASV1072,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_3775,midas_s_3775,above,intermediate,others,Unassigned,Unassigned,0.197302,172.829393,4,1,0,3.00E-06,723.2987844,0.144920614,4e4d01de0127e05269f0631896c08e4c,0.000162244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1073,n1201,NA,ASV1073,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,midas_g_12057,midas_s_13409,above,intermediate,others,Unassigned,Unassigned,0.127319,63.887847,5,1,0,3.00E-06,747.5421654,0.149778034,46fa1e054fa119c56c7fa89e77a72af6,0.000150253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1074,n4944,NA,ASV1074,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,Unknown,neutral,intermediate,others,Sugars,C_cycle,0.077572,48.509506,16,14,7,3.00E-06,1027.706255,0.205911893,bea6892f82fd2c4385d04bce5198dc63,0.000184496,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV1075,n1618,NA,ASV1075,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Unknown,below,intermediate,others,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.03457,18.376333,16,88,9129,3.00E-06,1216.182102,0.243675035,b83b2307caccd162ab3e16b08ce5cfcc,0.00021544,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ASV1076,n44,NA,ASV1076,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_225,midas_s_597,neutral,intermediate,others,Unassigned,Unassigned,0.086847,35.136715,9,6,1769,3.00E-06,1009.718196,0.202307793,17716c3f58ff00ab6541d1e081a13be1,0.000185703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1077,n3999,NA,ASV1077,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,midas_g_98,midas_s_24857,above,intermediate,others,Unassigned,Unassigned,0.127319,59.957453,3,6,723,3.00E-06,1014.073718,0.203180468,2dbc1777a3d602a5d81f1a8df3da37f7,0.000146913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1079,n335,NA,ASV1079,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,Unknown,neutral,intermediate,others,Denitrifiers/Proteins,N_remove,0.056492,39.458271,9,4,0,3.00E-06,1001.692422,0.200699744,e8ca72a9442459decf313a6b475ef238,0.000148523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ASV108,n4203,NA,ASV108,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,midas_g_179,Unknown,below,abundant,core,Unassigned,Unassigned,0.415683,176.38987,4,10,7648,3.00E-06,978.0126811,0.195955256,7dbf8044196ea8cc894577991fee5afb,0.001291917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1080,n2392,NA,ASV1080,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio,Unknown,above,intermediate,others,Denitrifiers/GAOs/Fermenter/Sugars/Lipids/Proteins,N_P_remove,0.099494,71.7654,7,31,12031,3.00E-06,1068.923549,0.214170216,316ae54c3b5bd9979e0f6bcf94f640f5,0.000159025,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
ASV1081,n1853,NA,ASV1081,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Sandaracinus,midas_s_20368,above,intermediate,others,Sugars/Proteins,C_cycle,0.266442,185.325546,9,14,6878,3.00E-06,1028.238936,0.206018621,e9d342102662c787d35d22874d15de8a,0.00015142,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ASV1082,n519,NA,ASV1082,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,midas_g_9238,midas_s_17543,below,intermediate,others,Unassigned,Unassigned,0.01602,5.332855,3,26,8578,3.00E-06,1085.519487,0.217495389,f764bfe56f0468167ca594ec6e6dfe49,8.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1083,n1422,NA,ASV1083,Bacteria,Chloroflexi,Anaerolineae,SJA-15,midas_f_8814,midas_g_10795,midas_s_10795,below,intermediate,others,Unassigned,Unassigned,0.048061,15.864244,3,31,16903,3.00E-06,1078.470026,0.216082955,6a8a281023c8c43abccf01c84799ca03,0.000195804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
